"SMWT","Muscle","Weight","CI_Lower","CI_Upper"
440,"GRA",0.567,0.374,0.789
440,"MG",0.096,0,0.273
440,"SOL",0.096,0,0.276
440,"VL",0.213,0.049,0.367
450,"BFLH",0.028,0,0.134
450,"GRA",0.567,0.374,0.789
450,"MG",0.096,0,0.272
450,"SOL",0.096,0,0.276
450,"VL",0.213,0.049,0.367
460,"BFLH",0.028,0,0.135
460,"GRA",0.567,0.374,0.788
460,"MG",0.096,0,0.272
460,"SOL",0.097,0,0.278
460,"VL",0.213,0.049,0.367
